GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
exercice7,org.example,OrderResponse,0,36,0,0,0,10,0,6,0,6
exercice7,org.example,Main,21,0,2,0,5,0,3,0,2,0
exercice7,org.example,Product,4,35,1,1,1,12,2,5,1,5
exercice7,org.example,OrderService,0,63,0,4,0,15,0,4,0,2
exercice7,org.example,OrderReceipt,6,21,0,0,2,8,2,3,2,3
exercice7,org.example,CustomerProfile,0,35,0,0,0,8,0,3,0,3
exercice7,org.example,OrderRequest,3,18,0,0,1,7,1,3,1,3
